conflict_id,dyad_id,negotiation_id,side_a,side_b,description,location_negotiations,start_negotiations_year,start_negotiations_month,end_negotiations_year,end_negotiations_month,third_party,local_ngo,international_ngo,regional_organization,un,foreign_government,individual,national_committee,language_organization,other,bilateral_negotiations,mediated_negotiations,agreement,peace_agreement,ceasefire,agreement_name,date_agreement_year,date_agreement_month,date_agreement_day,best_fatality_estimate,active,low,none
267,558,558-1,Ethiopia,EPRDF,"On 4 November 1989, exploratory talks between representatives of the EPRDF and the Government of Ethiopia opened in Rome. Alberto Solerathe, the Italian ambassador to China and former ambassador to Ethiopia, chaired these talks. During the talks, that were supposed to be of a procedural kind to make way for future negotiations, the TPLF presented a peace plan adopted at its congress in March the same year. The plan called for a broad based provisional government including representatives from all political organisations. The Government, in turn, accused the rebel factions of wishing to secede, leading to “national disunity”. The talks were adjourned on 11 November and were scheduled to be reopened on 12 December, but instead of continued talks, the fighting intensified in December.",Italy,1989,11,1989,11,Italy,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,18366,1,0,0
267,558,558-2,Ethiopia,EPRDF,"Between 20 and 29 March 1990, talks between the EPRDF and the Government of Ethiopia were held in Rome, under chairmanship of Alberto Solerathe, but no substantial progress was made. The negotiations again ended in a stalemate due to disagreement about what the focus of the talks should be. While the Government of Ethiopia solely wanted to discus local issues related to the area in which the EPRDF was operating, the EPRDF demanded that the discussions would focus on national issues.",Italy,1990,3,1990,3,Italy,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,18985,1,0,0
267,558,558-3,Ethiopia,EPRDF,"In early May 1991, the conflict parties agreed to negotiations in London scheduled on 27 May, where Herman Cohen, US Assistant Secretary of State for African Affairs, would act as the chief mediator. Prior to these talks, General Tesfaye Gebre Kidan, who had replaced the exiled Colonel Mengistu, had expressed his willingness to negotiate with the rebels through the United States. However, on 26 May, the EPRDF had surrounded the capital and seized the main military bases. The next day, on 27 May, the negotiations in London were opened, where the TPLF-leader Meles Zenawi negotiated on behalf of the EPRDF. The EPLF and OLF were participating with separate delegations. Simultaneously to the negotiations, on 27 May, the EPRDF entered Addis Ababa and took control of the country. After one and a half days of negotiations, on 28 May, the parties present in London agreed to let the EPRDF set up a transitional government and arrange democratic elections within a year. ",United Kingdom,1991,5,1991,5,UK; US,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,3918,1,0,0
275,571,571-1,Ethiopia,EPLF,"It was not until 1989 that the Government of Ethiopia and the EPLF accepted a third party to mediate. In the first half of 1989, former US President Jimmy Carter tried to mediate between the two parties in order to bring peace talks about.",,1989,1,1989,6,Jimmy Carter,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,5930,1,0,0
275,571,571-2,Ethiopia,EPLF,"Between 7 and 19 September 1989, preliminary peace talks took place in Atlanta, Georgia, where Carter obtained his mandate to mediate talks without conditions and with the talks publicly and officially announced. ",United States,1989,9,1989,9,Jimmy Carter,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,5930,1,0,0
275,571,571-3,Ethiopia,EPLF,"The talks resumed in Nairobi on 20 November 1989, again led by Carter, and the two sides decided to hold formal negotiations in early 1990. Jimmy Carter mediated between the conflict parties in Nairobi in November 1989. On 20 November 1989, at the end of the talks in Nairobi, the two sides decided to hold formal negotiations in early 1990, but these negotiations never came about. Although the Government of Ethiopia frequently expressed it was willing to resume negotiations mediated by Carter, the EPLF was reluctant to renew the Carter initiative.",Kenya,1989,11,1989,11,Jimmy Carter,0,0,0,0,0,1,0,0,0,0,1,0,0,0,,,,,5930,1,0,0
275,571,571-4,Ethiopia,EPLF,"In early May 1991, the conflict parties agreed to negotiations in London scheduled on 27 May, where Herman Cohen, US Assistant Secretary of State for African Affairs, would act as the chief mediator. Prior to these talks, General Tesfaye Gebre Kidan, who had replaced the exiled Colonel Mengistu, had expressed his willingness to negotiate with the rebels through the United States. However, on 26 May, the EPRDF had surrounded the capital and seized the main military bases. The next day, on 27 May, the negotiations in London were opened, where the TPLF-leader Meles Zenawi negotiated on behalf of the EPRDF. The EPLF and OLF were participating with separate delegations. Simultaneously to the negotiations, on 27 May, the EPRDF entered Addis Ababa and took control of the country. After one and a half days of negotiations, on 28 May, the parties present in London agreed to let the EPRDF set up a transitional government and arrange democratic elections within a year.",United Kingdom,1991,5,1991,5,UK; US,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,6907,1,0,0
283,584,584-1,DR Congo (Zaire),AFDL,"From February to May 1997, South Africa undertook various attempts to initiate negotiations between President Mobutu Sese Seko and AFDL leader Laurent-Désiré Kabila. However, the AFDL had the upper hand in the fighting and therefore initially rejected formal talks. On 19 February 1997, South African President Nelson Mandela announced that he had invited Laurent-Désiré Kabila, chairman of the ADFL, to visit South Africa and to engage in peace talks with Mobuto. On 26 February, it was announced that Mandela had persuaded Kabila to negotiate. On 4 May 1997, Mandela mediated the first direct negotiations between Kabila and Mobutu aboard a South African naval vessel. The talks did not lead to an agreement. Mobutu proposed to set up a mutually acceptable transitional government prior to open elections in which everyone could participate, while Kabila demanded Mobutu to step down and hand over power to the AFDL. In the meantime, the AFDL moved steadily from the east to the west. They met with little resistance on their way to Kinshasa with the exception of troops from the former Rwandan army and from the Angolan rebel group UNITA under Jonas Savimbi. In mid-May President Mobutu was defeated by the AFDL and its allies. AFDL leader Kabila claimed victory and subsequently assumed power on 16 May 1997. ",,1997,2,1997,5,South Africa,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,4457,1,0,0
283,585,585-1,DR Congo (Zaire),MLC,"In early 1999, a consultative meeting with the states in the region was held in Lusaka under the auspices of Zambian President Frederick Jacob Titus Chiluba, who had been mandated as the chief mediator in October 1998. Libyan President al-Gaddafi continued his mediating efforts between Kabila and Museveni in Sirte on 18 April 1999, but none of the rebel factions were involved in these talks. Nevertheless, progress was made. President Kabila promised to start negotiations with Congolese rebels, while President Museveni promised to withdraw Uganda’s troops. Consequently, the Government of the DRC and the three rebel groups – the RCD, the RCD-ML, and the MLC – as well as Uganda, Rwanda, Angola, Namibia, Zambia, and Zimbabwe met in Lusaka in July, which led to the signing of the Lusaka Accord by the regional states on 10 July 1999, but RCD and MLC initially refuse to sign. The MLC signed the agreement on 1 August. On 31 August, after intense diplomatic pressure, all 50 founding members of the fractious RCD signed. Rebel leader Emile Ilunga and 41 of his deputies signed on behalf of the RCD. This was a compromise following dispute between the two RCD factions about which group had the right to sign.",Zambia,1999,7,1999,8,OAU; Zambia,0,0,1,0,1,0,0,0,0,0,1,1,1,0,Lusaka Accord,1999,8,31,1807,1,0,0
283,585,585-2,DR Congo (Zaire),MLC,"Several preparatory meetings were held in early 2000. On 8 April 2000, the parties to the Lusaka agreement accepted a disengagement plan in Kampala in which they agreed to retreat their forces 15 km behind the frontlines.",Uganda,2000,4,2000,4,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,389,1,0,0
283,585,585-3,DR Congo (Zaire),MLC,"On 4 May 2000, the three Congolese insurgent parties renewed their commitment to the Inter-Congolese Dialogue. The preparatory committee of the Inter-Congolese Dialogue subsequently continued to work on finding consensus on how the peace talks would proceed. After it was decided which parties should participate in the Inter-Congolese Dialogue, the Government of the DRC suggested that the dialogue should be held in Kinshasa, but this suggestion was rejected by Masire. The Government became increasingly critical toward Masire, which eventually led to a declaration in which they stated to have lost their confidence in the Organization of African Unity mediator. Kabila considered him persona non grata and reportedly closed his offices in Kinshasa.  As a result, the Government boycotted a round of consultations organized by Masire in Benin in June 2000. ",,2000,5,2000,5,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,389,1,0,0
283,585,585-4,DR Congo (Zaire),MLC,"Nevertheless, by August, the parties had managed to agree on an agenda, the structure, the rules, the place, and the dates of the dialogue.  In mid-October 2000, a regional summit was held in Mozambique hosted by Mozambican President, Joaquim Chissano, where the agreement that all fighters should withdraw 15 km from their positions was reiterated. Within the same month, South African President Thabo Mbeki managed to secure agreement to this withdrawal plan from all the rebel parties. ",Mozambique,2000,10,2000,10,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,389,1,0,0
283,585,585-5,DR Congo (Zaire),MLC,"On 15 February 2001, all parties to the conflict met in Lusaka and agreed once again to disengage to positions occupied by their forces in May 2000. However, no timetable for the withdrawal was set. Moreover, Uganda and Rwanda insisted on maintaining a presence in the DRC until the ADF and Hutu militias were removed, while Kabila’s foreign allies refused to withdraw until Uganda, Rwanda and Burundi had moved out their troops from the DRC. When Laurent Kabila was assassinated on 16 January 2001, his son succeeded. He had a more welcoming attitude towards Masire. In early March 2001, Joseph Kabila invited Masire to Kinshasa and  promised to resume discussions with the mediator in the Inter-Congolese Dialogue.",Zambia,2001,2,2001,2,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,8,0,1,0
283,585,585-6,DR Congo (Zaire),MLC,"On the initiative of South Africa, the conflict parties (including the Mayi-Mayi militias) met in a closed-door meeting at Shumba Village (between Pretoria and Johannesburg) in April 2001.",South Africa,2001,4,2001,4,South Africa; OAU,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,8,0,1,0
283,585,585-7,DR Congo (Zaire),MLC,"On 4 May 2001, representatives of the DRC Government and the principal rebel factions signed the Declaration of Fundamental Principles for the Inter-Congolese dialogue in Lusaka. ",Zambia,2001,5,2001,5,OAU,0,0,1,0,0,0,0,0,0,0,1,1,1,0,Declaration of Fundamental Principles,2001,5,4,8,0,1,0
283,585,585-8,DR Congo (Zaire),MLC,"In late August 2001, the parties met in Botswana and agreed that the official Inter-Congolese dialogue was to commence in mid-October in the Ethiopian capital Addis Ababa. Attempting to outline areas of agreement, the Congolese government and RCD along with Mouvement pour la Liberation du Congo (MLC) signed the Acte d’Engagement in Gaborone on 24 August with Botswanan president Ketumile Masire acting as the lead mediator.",Botswana,2001,8,2001,8,OAU,0,0,1,0,0,0,0,0,0,0,1,1,0,1,Acte d’Engagement ,2001,8,24,8,0,1,0
283,585,585-9,DR Congo (Zaire),MLC,"A subsequent preparatory meeting was held in Abuja in September before the dialogue opened in Addis Ababa on October 15, 2001. However, Kabila and MLC leader Bemba failed to attend the October meeting in Ethiopia. Furthermore, RCD boycotted the opening ceremony. Consequently, the talks at Addis Ababa only lasted for five days instead of the proposed 45 days.  The mediation effort was also plagued by financial problems. Donors had pledged $5 million for Masire’s office, but only $250,000 had been forthcoming for the Addis Ababa meeting. This forced the mediation team to ask the conflict parties to reduce their delegations at the very last minute.",Nigeria,2001,10,2001,10,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,8,0,1,0
