conflict_id,dyad_id,location,gwno_location,year,side_a_name,side_b_name,start_date,side_a_2nd,side_b_2nd,ext_troop_supp,org,ep_end,ep_end_date,version,bilateral_negotiations,mediated_negotiations,peace_effort,bilateral_negotiations_dummy,mediated_negotiations_dummy,peace_effort_dummy,agreement,agreement_dummy,best_fatality_estimate,duration,pko,pko_name,pko_troops,pko_total,v2x_polyarchy,v2stfisccap,v2csprtcpt,rebel,multiple,active,low,none
4565,5175,Somalia,520,2008,Abgal clan (Hawiye),Xawaadle clan (Hawiye),09.01.2008,,,0,3,1,26.12.2008,20.1,0,2,2,0,1,1,0,0,31,0,0,,0,0,0.20,-1.95,0.57,0,0,1,0,0
4565,5175,Somalia,520,2009,Abgal clan (Hawiye),Xawaadle clan (Hawiye),09.01.2008,,,0,3,0,,20.1,0,2,2,0,1,1,2,1,0,1,0,,0,0,0.20,-1.95,0.57,0,0,0,0,1
4565,5175,Somalia,520,2010,Abgal clan (Hawiye),Xawaadle clan (Hawiye),09.01.2008,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.21,-1.95,1.01,0,0,0,0,1
4566,5176,Ghana,452,2002,Abudu,Andani,27.03.2002,,,0,3,1,27.03.2002,20.1,0,2,2,0,1,1,0,0,36,0,0,,0,0,0.73,1.03,1.73,0,0,1,0,0
4566,5176,Ghana,452,2003,Abudu,Andani,27.03.2002,,,0,3,0,,20.1,0,1,1,0,1,1,1,1,0,1,0,,0,0,0.73,1.03,1.73,0,0,0,0,1
4566,5176,Ghana,452,2004,Abudu,Andani,27.03.2002,,,0,3,0,,20.1,0,1,1,0,1,1,0,0,0,2,0,,0,0,0.72,1.03,1.73,0,0,0,0,1
4567,5177,Nigeria,475,2008,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,1,22.04.2008,20.1,0,1,1,0,1,1,1,1,33,0,0,,0,0,0.40,0.31,1.35,0,0,1,0,0
4567,5177,Nigeria,475,2009,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,22.04.2008,20.1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.40,0.31,1.35,0,0,0,1,0
4567,5177,Nigeria,475,2010,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.42,0.31,1.99,0,0,0,0,1
4567,5177,Nigeria,475,2011,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,1,17.10.2011,20.1,0,1,1,0,1,1,0,0,26,3,0,,0,0,0.48,0.31,1.99,0,0,1,0,0
4567,5177,Nigeria,475,2012,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,17.10.2011,20.1,0,0,0,0,0,0,0,0,2,4,0,,0,0,0.50,0.31,1.99,0,0,0,1,0
4567,5177,Nigeria,475,2013,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,17.10.2011,20.1,0,1,1,0,1,1,0,0,4,5,0,,0,0,0.57,0.31,1.90,0,0,0,1,0
4567,5177,Nigeria,475,2014,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,,20.1,0,0,0,0,0,0,0,0,0,6,0,,0,0,0.57,0.31,1.90,0,0,0,0,1
4567,5177,Nigeria,475,2015,Supporters of ACN,Supporters of PDP,14.01.2008,,,0,2,0,,20.1,0,0,0,0,0,0,0,0,0,7,0,,0,0,0.59,0.31,1.90,0,0,0,0,1
4568,5178,Nigeria,475,2003,Supporters of AD,Supporters of PDP,12.03.2003,,,0,2,1,11.07.2003,20.1,0,2,2,0,1,1,1,1,29,0,0,,0,0,0.44,0.31,1.35,0,0,1,0,0
4568,5178,Nigeria,475,2004,Supporters of AD,Supporters of PDP,12.03.2003,,,0,2,0,,20.1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.44,0.31,1.35,0,0,0,0,1
4568,5178,Nigeria,475,2005,Supporters of AD,Supporters of PDP,12.03.2003,,,0,2,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.44,0.31,1.35,0,0,0,0,1
4569,5179,Ethiopia,530,2002,Afar,Kereyou,30.06.2002,,,0,3,0,11.07.2003,20.1,0,0,0,0,0,0,0,0,29,0,0,,0,0,0.26,-0.64,-0.20,0,0,1,0,0
4569,5179,Ethiopia,530,2003,Afar,Kereyou,30.06.2002,,,0,3,1,31.01.2003,20.1,0,1,1,0,1,1,0,0,40,1,0,,0,0,0.26,-0.64,-0.20,0,0,1,0,0
4569,5179,Ethiopia,530,2004,Afar,Kereyou,30.06.2002,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.25,-0.64,-0.20,0,0,0,0,1
4569,5179,Ethiopia,530,2005,Afar,Kereyou,30.06.2002,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,3,0,,0,0,0.26,-0.64,-0.20,0,0,0,0,1
4570,5180,Ethiopia,530,2000,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,31.01.2003,20.1,0,0,0,0,0,0,0,0,19,0,0,,0,0,0.27,-0.64,-0.20,0,0,0,1,0
4570,5180,Ethiopia,530,2001,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.26,-0.64,-0.20,0,0,0,0,1
4570,5180,Ethiopia,530,2002,Afar,Issa clan (Dir),01.05.2000,,,0,3,1,10.12.2002,20.1,0,3,3,0,1,1,0,0,75,2,0,,0,0,0.26,-0.64,-0.20,0,0,1,0,0
4570,5180,Ethiopia,530,2003,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,3,0,,0,0,0.26,-0.64,-0.20,0,0,0,0,1
4570,5180,Ethiopia,530,2004,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,4,0,,0,0,0.25,-0.64,-0.20,0,0,0,0,1
4570,5180,Ethiopia,530,2012,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,10.12.2002,20.1,0,0,0,0,0,0,0,0,3,12,0,,0,0,0.23,-0.64,-0.28,0,0,0,1,0
4570,5180,Ethiopia,530,2013,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,13,0,,0,0,0.22,-0.64,-0.55,0,0,0,0,1
4570,5180,Ethiopia,530,2014,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,14,0,,0,0,0.23,-0.64,-0.55,0,0,0,0,1
4570,5180,Ethiopia,530,2018,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,10.12.2002,20.1,0,0,0,0,0,0,0,0,24,18,0,,0,0,0.31,-0.64,-0.54,0,0,0,1,0
4570,5180,Ethiopia,530,2019,Afar,Issa clan (Dir),01.05.2000,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,19,0,,0,0,0.33,-0.65,-0.10,0,0,0,0,1
4571,5181,Somalia,520,2001,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,0,10.12.2002,20.1,0,0,0,0,0,0,0,0,8,0,0,,0,0,0.19,-1.95,0.57,0,0,0,1,0
4571,5181,Somalia,520,2002,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0.19,-1.95,0.57,0,0,0,0,1
4571,5181,Somalia,520,2003,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.19,-1.95,0.57,0,0,0,0,1
4571,5181,Somalia,520,2004,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,1,04.02.2004,20.1,0,2,2,0,1,1,1,1,26,3,0,,0,0,0.18,-1.95,0.57,0,0,1,0,0
4571,5181,Somalia,520,2005,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,0,,20.1,0,1,1,0,1,1,1,1,0,4,0,,0,0,0.19,-1.95,0.57,0,0,0,0,1
4571,5181,Somalia,520,2006,Abtisame subclan of Galje'el clan (Hawiye),Afi subclan of Galje'el clan (Hawiye),27.08.2001,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,5,0,,0,0,0.20,-1.95,0.57,0,0,0,0,1
4572,5182,Somalia,520,1999,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,0,04.02.2004,20.1,1,0,1,1,0,1,1,1,20,0,0,,0,0,0.16,-1.95,0.57,0,0,0,1,0
4572,5182,Somalia,520,2000,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,0,04.02.2004,20.1,0,0,0,0,0,0,0,0,2,1,0,,0,0,0.18,-1.95,0.57,0,0,0,1,0
4572,5182,Somalia,520,2001,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,2,0,,0,0,0.19,-1.95,0.57,0,0,0,0,1
4572,5182,Somalia,520,2002,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,1,20.11.2002,20.1,0,3,3,0,1,1,1,1,94,3,0,,0,0,0.19,-1.95,0.57,0,0,1,0,0
4572,5182,Somalia,520,2003,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,4,0,,0,0,0.19,-1.95,0.57,0,0,0,0,1
4572,5182,Somalia,520,2004,Agon-Yar subclan of Abgal clan (Hawiye),Warsangeli subclan of Abgal clan (Hawiye),15.10.1999,,,0,3,0,,20.1,0,0,0,0,0,0,0,0,0,5,0,,0,0,0.18,-1.95,0.57,0,0,0,0,1
4573,5183,Somalia,520,2008,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,20.11.2002,20.1,0,0,0,0,0,0,0,0,64,0,0,,0,0,0.20,-1.95,0.57,1,0,1,0,0
4573,5183,Somalia,520,2009,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,20.11.2002,20.1,0,0,0,0,0,0,0,0,548,1,0,,0,0,0.20,-1.95,0.57,1,0,1,0,0
4573,5183,Somalia,520,2010,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,1,05.12.2010,20.1,0,0,0,0,0,0,0,0,202,2,0,,0,0,0.21,-1.95,1.01,1,0,1,0,0
4573,5183,Somalia,520,2011,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,,20.1,0,0,0,0,0,0,0,0,0,3,0,,0,0,0.22,-1.95,1.01,1,0,0,0,1
4573,5183,Somalia,520,2012,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,,20.1,0,0,0,0,0,0,0,0,0,4,0,,0,0,0.19,-1.27,1.01,1,0,0,0,1
4573,5183,Somalia,520,2018,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,05.12.2010,20.1,0,0,0,0,0,0,0,0,10,10,0,,0,0,0.17,-1.24,0.43,1,0,0,1,0
4573,5183,Somalia,520,2019,Ahlu Sunna Waljamaca,Al-Shabaab,02.12.2008,,,0,1,0,,20.1,0,0,0,0,0,0,0,0,0,11,0,,0,0,0.16,-0.95,0.43,1,0,0,0,1
