dyad_id,negotiation_id,side_a,side_b,description,start_negotiations_year,start_negotiations_month,end_negotiations_year,end_negotiations_month,location_negotiations,bilateral_negotiations,mediated_negotiations,third_party,local_government,government,president,political_party,government_forces,police,armed_group,local_ngo,community_leaders,religious_leaders,traditional_leaders,local_committee,international_ngo,foreign_government,regional_organization,international_organization,peacekeeping,other,agreement,peace_agreement,ceasefire,agreement_name,day_agreement,month_agreement,year_agreement,best_fatality_estimate,active,low,none
16245,16245-1,Abugbe (Agatu),Agbaduma (Agatu),"The Abugbe and Agbaduma engaged in bilateral negotiations in June 2019 in response to armed clashes between the two tribes in the Local Government Area of Agatu in Benue State. This led to a peace agreement on 29 June 2019. However, fighting resumed directly after the signing of the agreement.",2019,6,2019,6,Nigeria,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,29,6,2019,25,1,0,0
16245,16245-2,Abugbe (Agatu),Agbaduma (Agatu),"On 29 August 2019, the two rival communities reached a peace agreement during a peace meeting mediated by the deputy Governor of Benue State, Benson Abounou, in Makurdi. This agreement partially resolved the land dispute between the parties. The agreement built on the efforts of a peace committee that had previously been set up by the state government to discuss the chieftaincy title in Aila, ownership of the Ohebu fish pond, the agricultural land surrounding the pond, Ashukwu, and Adagole. The Abugbe community agreed to renounce its claim to ownership of the Ohebu fishpond in favor of the Aigocheigwu family in Agbaduma. In addition, it was agreed that all the people farming around the Ohebu pond should continue unhindered access until the dry season, when the committee will visit the area and solve the problems concerning the farmland.",2019,8,2019,8,Nigeria,0,1,local government,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,29,8,2019,25,1,0,0
16051,16051-1,Ahali,Toubou,"In 2019, the Libyan National Army (LNA) attempted to maintain its hold on the Toubou-dominated town of  Murzuk. The battle between the LNA and opposition from Toubou leadership negatively impacted the relations between the Ahali and Toubou communities. In September 2019, the United Arab Emirates (UAE) flew in Mohammed Adam Lino of the Toubou group to prepare him for mediation between the two communities, butthis mediation effort never materialized. In October 2019, the Ara Pacis Initiative and the Italian government jointly mediated between the conflict parties. The series of negotations, referred to as the Murzuq Peace Dialogues, took place in Rome and led to the signing of the Agreement in Principle on 17 October 2019. This agreement outlined steps for a more coprehensive peace agreement. ",2019,10,2019,10,Italy,0,1,Italy; Ara Pacis Initiative ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,Agreement in Principle,17,10,2019,62,1,0,0
16051,16051-2,Ahali,Toubou,A follow-up meeting took place in Ubari December 2019. ,2019,11,2019,12,Libya,0,1,Ara Pacis Initiative ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,62,1,0,0
16051,16051-3,Ahali,Toubou,"To this purpose, a follow-up commission of representatives of the conflict parties convened in Rome from 12 to 14 November 2019. The Ara Parcs Initiative mediated this meeting, which was aimed at determining how to move forward with implementation of the previous agreement. ",2019,11,2019,11,Italy,0,1,Ara Pacis Initiative ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,62,1,0,0
16034,16034-1,FPRC,MLCJ,"The Centre for Humanitarian Dialogue (HD) and MINUSCA, with support from local officials and traditional and religious leaders, mediated a round of negotiations between the UPC, MPC, RPRC, MLJC, anti-Balaka-Molokom, and FPRC in Bria from 1 to 9 April 2019. This led to the signing of the Bria Accord on 9 April 2019. This local agreement was aimed at reinforcing the implementation of the 6 February 2019 national agreement. The agreement stipulated a ceasefire to end to the violence in Haute-Kotto and Ouaka prefectures, as well as guaranteed the safe and free movement of persons, goods, and humanitarian aid on the main axis.",2019,4,2019,4,Central African Republic,0,1,Centre for Humanitarian Dialogue (HD); MINUSCA; local government; traditional leaders; religious leaders,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,Bria Accord,9,4,2019,213,1,0,0
16034,16034-2,FPRC,MLCJ,"The Sudan-based Arab Mediation and Reconciliation Committee, comprised by 17 Taish, Salamate and Missiria community leaders, mediated a temporary ceasefire between the MLCJ/Kara and the FPRC/Rounga in Am-Dafock in December 2019.",2019,12,2019,12,Central African Republic,0,1,Arab Mediation and Reconciliation Committee,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,213,1,0,0
16034,16034-3,FPRC,MLCJ,Goula elders mediated between the MLCJ/Kara and the FPRC/Rounga in December 2019.,2019,12,2019,12,Central African Republic,0,1,traditional leaders,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,213,1,0,0
16013,16013-1,Beni Amir,Nuba,Negotiations between the Beni Amir and Nuba led to a peace agreement in El Gedaref in May 2019.,2019,5,2019,5,Sudan,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,,5,2019,85,1,0,0
16013,16013-2,Beni Amir,Nuba,"In resonse to armed clashes between the conflict partis, the Sudanese government, in the form of the Sovereignty Council of Sudan, mediated between the confict parties on 22 August 2019. These talks did not lead to an agreement.",2019,8,2019,8,Sudan,0,1,government,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,85,1,0,0
16007,16007-1,Ikurav (Tiv),Shitile (Tiv),"In response to armed clashes between the Ikurav and Shitilet in the town of Katsina-Ala in Benue State in April 2019, the Benue state government imposed a 24-hour curfew on 22 April 2019 as part of peacekeeping efforts in the region. Directly after the resumption of hostilities in August 2019 in Katsina-Ala, the Benue State Police Command mediated negotiations between the communities to resolve the crisis. However, this did not result in any agreement since the two tribes could not agree on the causes of the attacks. ",2019,8,2019,8,Nigeria,0,1,police,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,37,1,0,0
15945,15945-1,Lunguda,Waja,"A land dispute between Lugunda and Waja youths in the Lamurde Local Government Area in Adamawa State in October 2018 escalted into a series or reprisal killings and armed conflict. In early November 2018, the Assessment and Reconciliation committee set up by the Governor of Adamawa mediated between the leaders of the Lugunda and Waja. Waja leader Malam Saleh and Lunguda leader John Monsirmi declared their desire to maintain peace between the two communities, though no agreement was concluded.",2018,11,2018,11,Nigeria,0,1,local peace committee; local government,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,34,1,0,0
15927,15927-1,Fulani,Yandang,"Fulani herders and Yandang farmers clashed violently in Taraba State in early July 2018. A peace meeting between the Fulani on the one side and the Yandang and four other ethnic groups on the other side led to the conclusion of a peace agreement in the Lau Local Government Area in Taraba State on 21 July 2018. The agreement stipulated a ceasefire, the withdrawal of all militias, and the formation of a peace and reconciliation committee.",2018,7,2018,7,Nigeria,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,21,7,2018,83,1,0,0
15879,15879-1,Chiebiliew Yoal (Lou Nuer),Chiebol Nyak (Lou Nuer),"Communal clashes between the Chiebiliew Yoal and the Chiebol Nyak started in February 2018. This triggered a cycle of revenge attacks. Following an armed clash in Akobo on 6 July 2018, the governor of Bieh state, Brigadier General Simon Hoth Duol with the help of local chiefs, mediated between the conflict parties and managed to separate the two groups.",2018,7,2018,7,South Sudan,0,1,local government; community leaders,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25,1,0,0
15859,15859-1,Gak Dinka,Manuer Dinka,"From 10 to 13 December 2018, the United Nations Mission in South Sudan (UNMISS) convened a peace conference in the Greater Lakes, along with the Disabled Association for Rehabilitation and Development and Oxfam. The Gak and Manuer Dinka attended the conference and they reached a truce on 13 December 2018.",2018,12,2018,12,South Sudan,0,1,UNMISS; local NGO; Oxfam,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,ceasefire,13,12,2018,10,0,1,0
15793,15793-1,Bassa Kwomu,Egbura Mozum,"In July 2001, the US Agency for Internal Development (USAID) sponsored a conflict resolution workshop in which the conflict parties discussed solutions to their conflict.",2001,7,2001,7,Nigeria,0,1,USAID,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,0,0,0,1
15793,15793-2,Bassa Kwomu,Egbura Mozum,"However, violence between the Bassa Kwomu and Egbura Mozum clans resumed in Kogi State and in the Toto LGA of Nasawara State in 2018. In the week of 9 July 2018, Governor of Nasawara State Umaru Tanko Al-Makura met with stakeholders from the Bassa ethnic group and members of the State Security Council in Abuja to ease tensions. In his statement, Al-Makura promised to create a Bassa Chiefdom before the end of his mandate and set up peace between the two communities. No agreement was reportedly signed during this meeting. ",2018,7,2018,7,Nigeria,0,1,local government; government,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,54,1,0,0
